,M,N,lb,ub,makespan,iters,total_t,prep_t,iter_t,d,tau,pmax,pmin,cols,box_size,box_bound
0,3,15,1,20,52.0,7,0.012857142857142857,1.836734693877551e-06,1.836734693877551e-06,2,1,12,10,13.0,137.57142857142858,14.0
1,3,15,1,20,45.3333,8,0.0,0.0,0.0,1,3,17,17,17.875,218.25,15.0
2,3,15,1,20,96.0,8,3.44625,0.00043078125,0.00043078125,3,1,20,4,32.125,182.5,12.0
3,3,15,1,20,91.0,8,0.024,3e-06,3e-06,2,1,19,18,17.5,133.5,13.0
4,3,15,1,20,41.0,7,16.343714285714285,0.002334816326530612,0.002334816326530612,5,2,19,4,375.2857142857143,994.0,7.0
5,3,15,1,20,68.0,8,637.935625,0.079741953125,0.079741953125,4,1,17,6,107.5,266.0,7.0
6,3,15,1,20,17.0,6,0.023333333333333334,3.888888888888889e-06,3.888888888888889e-06,3,2,19,2,84.66666666666667,820.0,10.0
7,3,15,1,20,7.0,5,0.0238,4.76e-06,4.76e-06,3,2,5,1,74.4,924.0,11.0
8,3,15,1,20,39.0,7,1238.905142857143,0.17698644897959184,0.17698644897959184,4,1,17,4,102.71428571428571,438.0,8.0
9,3,15,1,20,29.6667,8,1.029125,0.000128640625,0.000128640625,5,3,18,2,563.5,902.25,5.0
10,3,15,1,20,44.0,7,0.0005714285714285715,8.16326530612245e-08,8.16326530612245e-08,2,2,12,11,24.428571428571427,374.0,14.0
11,3,15,1,20,25.5,6,3.155,0.0005258333333333333,0.0005258333333333333,4,2,15,1,200.5,500.0,5.0
12,3,15,1,20,91.0,8,3.4745,0.00043431249999999997,0.00043431249999999997,3,1,19,7,33.0,182.5,12.0
13,3,15,1,20,43.0,7,522.6544285714285,0.07466491836734693,0.07466491836734693,4,1,13,5,84.42857142857143,287.14285714285717,8.0
14,3,15,1,20,57.0,7,704.2258571428572,0.10060369387755103,0.10060369387755103,4,1,18,7,75.28571428571429,475.85714285714283,9.0
15,3,15,1,20,24.0,6,0.0,0.0,0.0,1,2,8,8,11.5,117.0,15.0
16,3,15,1,20,37.0,7,8244.358714285714,1.1777655306122448,1.1777655306122448,6,2,15,2,310.85714285714283,941.1428571428571,8.0
17,3,15,1,20,54.0,8,0.00075,9.375e-08,9.375e-08,2,2,16,11,51.0,300.75,10.0
18,3,15,1,20,80.0,7,0.012857142857142857,1.836734693877551e-06,1.836734693877551e-06,2,1,16,9,13.0,129.14285714285714,14.0
19,3,15,1,20,22.5,6,20.9135,0.003485583333333333,0.003485583333333333,5,2,13,2,324.0,1168.0,8.0
20,3,15,1,20,25.5,6,0.002,3.3333333333333335e-07,3.3333333333333335e-07,2,2,11,8,27.333333333333332,304.0,13.0
21,3,15,1,20,28.0,8,0.000375,4.6875e-08,4.6875e-08,2,3,14,2,75.0,366.375,10.0
22,3,15,1,20,19.5,6,0.0025,4.1666666666666667e-07,4.1666666666666667e-07,2,2,7,4,35.5,256.0,12.0
23,3,15,1,20,16.0,6,0.5603333333333333,9.33888888888889e-05,9.33888888888889e-05,4,2,7,1,362.6666666666667,422.6666666666667,5.0
24,3,15,1,20,40.0,7,467.497,0.06678528571428571,0.06678528571428571,4,1,16,2,88.0,448.0,8.0
25,3,15,1,20,35.8333,9,0.10044444444444445,1.1160493827160494e-05,1.1160493827160494e-05,4,3,20,1,313.77777777777777,936.0,6.0
26,3,15,1,20,31.0,7,7.030285714285714,0.001004326530612245,0.001004326530612245,4,2,17,4,153.85714285714286,756.0,7.0
27,3,15,1,20,0.0,1,0.0,0.0,0.0,5,1,14,2,278.0,584.0,8.0
28,3,15,1,20,20.0,6,0.0025,4.1666666666666667e-07,4.1666666666666667e-07,2,2,16,4,32.333333333333336,507.3333333333333,12.0
29,3,15,1,20,9.0,5,0.0,0.0,0.0,1,2,3,3,11.6,118.8,15.0
30,3,15,1,20,0.0,1,0.0,0.0,0.0,6,1,20,8,838.0,516.0,6.0
31,3,15,1,20,25.0,7,0.023714285714285716,3.3877551020408164e-06,3.3877551020408164e-06,3,2,19,5,84.14285714285714,679.4285714285714,10.0
32,3,15,1,20,51.0,8,0.0005,6.25e-08,6.25e-08,2,2,18,16,38.75,279.5,8.0
33,3,15,1,20,38.0,6,0.0006666666666666666,1.1111111111111111e-07,1.1111111111111111e-07,2,2,15,8,40.666666666666664,455.0,12.0
34,3,15,1,20,0.0,1,0.0,0.0,0.0,5,1,17,1,276.0,584.0,8.0
35,3,15,1,20,14.0,6,0.14516666666666667,2.4194444444444446e-05,2.4194444444444446e-05,3,2,11,3,49.0,822.6666666666666,12.0
36,3,15,1,20,37.5,7,449.0802857142857,0.06415432653061225,0.06415432653061225,5,2,16,2,314.57142857142856,596.2857142857143,7.0
37,3,15,1,20,45.3333,8,0.0,0.0,0.0,1,3,17,17,17.875,218.25,15.0
38,3,15,1,20,65.0,7,0.012857142857142857,1.836734693877551e-06,1.836734693877551e-06,2,1,13,7,13.0,129.14285714285714,14.0
39,3,15,1,20,8.0,5,0.0006,1.2e-07,1.2e-07,2,2,16,1,26.6,756.0,14.0
40,3,15,1,20,30.6667,8,0.01275,1.59375e-06,1.59375e-06,3,3,14,5,101.0,732.75,11.0
41,3,15,1,20,43.0,7,9.099714285714287,0.0012999591836734695,0.0012999591836734695,3,1,10,6,60.285714285714285,176.71428571428572,9.0
42,3,15,1,20,89.0,7,0.009,1.2857142857142856e-06,1.2857142857142856e-06,2,1,19,13,25.0,114.0,11.0
43,3,15,1,20,32.0,6,1133.7416666666666,0.1889569444444444,0.1889569444444444,4,1,15,2,99.33333333333333,264.3333333333333,9.0
44,3,15,1,20,57.0,7,0.06457142857142857,9.224489795918367e-06,9.224489795918367e-06,3,2,19,1,88.42857142857143,416.2857142857143,11.0
45,3,15,1,20,17.5,6,0.0013333333333333333,2.2222222222222222e-07,2.2222222222222222e-07,2,2,11,5,21.166666666666668,342.6666666666667,14.0
46,3,15,1,20,67.0,8,0.312875,3.9109375e-05,3.9109375e-05,4,2,19,2,169.75,756.0,7.0
